StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q6,Q7
2025-05-13 13:32:43,2025-05-13 13:33:16,IP Address,155.98.131.7,50,32,False,2025-05-20 13:33:20,R_3oRDRts4QZ9kfxB,,,,,40.761,-111.8611,qr,EN,8.332,17.525,18.571,4,,Graduate student,,,,,,Neurobiology,,,,,,,
2025-05-13 13:32:44,2025-05-13 13:33:19,IP Address,155.98.131.6,50,35,False,2025-05-20 13:33:22,R_3WseKyDl8LM0yPf,,,,,40.761,-111.8611,qr,EN,5.073,16.382,19.796,5,,Graduate student,,,,,,"Neurobiology ",,,,,,,
2025-05-13 13:32:37,2025-05-13 14:12:46,IP Address,155.98.131.0,75,2408,False,2025-05-20 14:12:50,R_3BpYsXAUVopaw6t,,,,,40.761,-111.8611,qr,EN,4.563,46.11,46.722,6,,Graduate student,,,,,,Human Genetics,Slightly familiar,0.842,126.121,126.692,23,,
2025-05-14 11:36:55,2025-05-14 11:37:40,IP Address,155.98.131.4,50,44,False,2025-05-21 11:37:40,R_3fZWAmf8IEvhC6i,,,,,40.761,-111.8611,anonymous,EN,0,0,15.877,0,,Graduate student,,,,,,Physics and Astronomy,,,,,,,
2025-05-14 15:51:32,2025-05-14 15:52:44,IP Address,76.23.29.41,88,72,False,2025-05-21 15:52:46,R_7pKGUVixbkTF6vf,,,,,40.7334,-111.8628,anonymous,EN,0,0,10.989,0,,Graduate student,,,,,,Physics,Very familiar,15.271,15.271,18.019,1,Extremely interested,
2025-05-15 11:53:05,2025-05-15 12:51:59,IP Address,155.98.9.138,50,3533,False,2025-05-22 12:52:00,R_1aQ2LWGsX7wgujv,,,,,40.761,-111.8611,anonymous,EN,2.243,4.573,6.143,2,,Graduate student,,,,,,Mechanical Engineering,,,,,,,
2025-05-15 16:27:14,2025-05-15 16:27:38,IP Address,172.59.155.32,50,24,False,2025-05-22 16:27:40,R_3OIIPTqKSLf6ReU,,,,,40.75,-111.9209,anonymous,EN,8.615,11.527,13.994,2,,Graduate student,,,,,,,,,,,,,
2025-05-15 16:27:40,2025-05-15 16:29:49,IP Address,155.98.131.1,50,128,False,2025-05-22 16:29:50,R_7ix5qo5ndpllRYR,,,,,40.761,-111.8611,anonymous,EN,0,0,8.649,0,,Graduate student,,,,,,biomedical engineering,,,,,,,
2025-05-15 17:01:38,2025-05-15 17:03:01,IP Address,50.168.108.131,50,83,False,2025-05-22 17:03:09,R_1eVdfNichPozkB3,,,,,40.761,-111.8611,anonymous,EN,2.052,5.1,7.637,2,,Graduate student,,,,,,Dept of Physical Therapy and Athlentic Training,,,,,,,
2025-05-15 21:29:17,2025-05-15 21:30:48,IP Address,50.168.89.218,88,91,False,2025-05-22 21:30:49,R_1DUPHTn2tz9LOZW,,,,,40.7387,-111.8276,anonymous,EN,0,0,13.681,0,,Graduate student,,,,,,School of Business,Moderately familiar,26.958,26.958,27.949,1,Slightly interested,
2025-06-02 15:37:54,2025-06-02 15:56:35,IP Address,135.129.153.102,100,1120,True,2025-06-02 15:56:35,R_7Qz9kZbXFrkHx4p,,,,,40.5308,-112.2983,anonymous,EN,0,0,43.352,0,,Graduate student,,,,,,Population Health Sciences,Slightly familiar,85.688,89.964,91.118,2,Moderately interested,"Even with the definition I still feel a little unclear about what it is. I'm generally in favor of anything that improves our ability to conduct research and communicate more effectively about it. I've heard of people who specialize in scientific communication, and I've seen team building activities, and in that sense I'm very in favor of this field, whether I knew they were called research development careers or not. I think there are a lot of practical skills that should be taught to graduate students and researchers that aren't currently a major focus, but I would've expected that to be called things like project management and science communication or something. Research development sounds like just the initial stages of research (figuring out how you get data and resources, maybe idea brainstorming, etc.). I wouldn't have linked the example tasks you listed to the description of something called a ""Research Development career"". 
Also, while I doubt this is the focus of the career path or the people organizing this, one of your descriptions was along the lines of aligning current research interests with current funding opportunities or something. That's an important thing, but in the current political climate all I can think of is aligning research to the current administration's interest, because that's how I'm usually seeing that phrase used. That is also an important thing for anyone who wants to work with government funding in the US, but it's also a very uncomfortable thing given how it's negatively impacted research (including my own). So seeing that phrasing brings on a bit of an instinctual cringe from me. "
2025-06-02 16:33:18,2025-06-02 16:34:28,IP Address,155.101.197.92,100,69,True,2025-06-02 16:34:28,R_3o6KJZxnrZ7OakP,,,,,40.7334,-111.8628,anonymous,EN,0,0,11.045,0,,Graduate student,,,,,,Biochemistry,Not familiar at all,35.903,35.903,37.378,1,Not interested at all,
2025-06-02 17:10:10,2025-06-02 17:13:48,IP Address,155.98.164.39,100,218,True,2025-06-02 17:13:49,R_5AzBzYtpeqtgWaJ,,,,,40.7387,-111.8276,anonymous,EN,0,0,126.226,0,,Graduate student,,,,,,"Ophthalmology department, Neuroscience PhD program",Not familiar at all,6.699,6.699,8.234,1,Slightly interested," I don't know what research development careers are but I am curious"
2025-06-03 09:18:09,2025-06-03 09:19:30,IP Address,155.98.131.5,100,80,True,2025-06-03 09:19:30,R_35XHo7n6GQPEVMt,,,,,40.699,-111.841,anonymous,EN,0,0,10.178,0,,Graduate student,,,,,,Neurobiology,Slightly familiar,28.227,47.597,49.485,10,Moderately interested,
2025-06-03 09:40:46,2025-06-03 09:42:07,IP Address,155.101.149.94,100,80,True,2025-06-03 09:42:07,R_5Mh5cZOSNirLCUy,,,,,40.6596,-111.9195,anonymous,EN,0,0,11.786,0,,Graduate student,,,,,,"Neuroscience PhD program; Human Genetics
",Slightly familiar,39.439,39.439,41.753,1,Slightly interested,
2025-06-03 10:26:52,2025-06-03 10:33:30,IP Address,155.101.197.188,100,398,True,2025-06-03 10:33:31,R_5gvDPA8WgGfgbkJ,,,,,40.7334,-111.8628,anonymous,EN,0,0,11.401,0,,Graduate student,,,,,,The Department of Biochemistry and the Bioscience P.hD. programs,Very familiar,35.277,35.277,36.637,1,Extremely interested,"I’m relatively new to the field of Research Development but increasingly see how it aligns with my skills and values. I have experience in academic research and science communication, and I’m drawn to the behind-the-scenes work that can foster scientific collaborations and translate their ideas into strong community outreach programs. I’m currently exploring how I might transition into an RD role post graduation and am eager to learn more about the career path, the types of institutions where RD professionals, especially science communication specialists thrive, and how others got started in this space."
2025-06-03 10:51:23,2025-06-03 10:52:16,IP Address,155.98.164.36,100,52,True,2025-06-03 10:52:16,R_3rL7cHHY4Y81S37,,,,,40.7387,-111.8276,anonymous,EN,5.119,5.119,6.127,1,,Graduate student,,,,,,"Pathology, M&I",Moderately familiar,20.407,20.407,21.649,1,Slightly interested,
2025-06-03 11:10:49,2025-06-03 11:12:16,IP Address,155.98.228.115,100,86,True,2025-06-03 11:12:17,R_6qch5yago2LY8HT,,,,,40.7387,-111.8276,anonymous,EN,0,0,14.29,0,,Graduate student,,,,,,Pharmacology & Toxicology,Slightly familiar,4.969,23.224,24.173,18,Very interested,
2025-06-03 12:04:32,2025-06-03 12:08:19,IP Address,155.98.131.2,100,226,True,2025-06-03 12:08:19,R_6Pk1zEBIxztvU7M,,,,,40.699,-111.841,anonymous,EN,0,0,6.12,0,,Graduate student,,,,,,neurobiology and anatomy,Moderately familiar,187.541,187.541,189.435,1,Not interested at all,n.a
2025-06-04 07:57:25,2025-06-04 07:58:26,IP Address,155.99.232.214,100,60,True,2025-06-04 07:58:26,R_3QLR42Q5WMyx1K0,,,,,40.7742,-111.8721,anonymous,EN,0,0,6.488,0,,Graduate student,,,,,,Pathology,Not familiar at all,18.728,18.728,20.166,1,Not interested at all,"I would rather leave science entirely than not do research I find interesting. "
2025-06-04 10:21:31,2025-06-04 10:22:43,IP Address,76.23.30.84,100,71,True,2025-06-04 10:22:43,R_5hMaGxHBCtE7i1y,,,,,40.7334,-111.8628,anonymous,EN,0,0,15.541,0,,Graduate student,,,,,,"Atmospheric science
",Not familiar at all,22.208,22.208,24.168,1,Not interested at all,
2025-06-04 12:44:49,2025-06-04 12:52:36,IP Address,155.101.157.103,100,467,True,2025-06-04 12:52:37,R_7QrAS13Hp58kYG3,,,,,40.7387,-111.8276,anonymous,EN,0,0,418.101,0,,Graduate student,,,,,,"neurobiology
",Slightly familiar,28.905,30.217,31.139,2,Very interested,
2025-06-04 13:04:43,2025-06-04 13:05:34,IP Address,155.101.157.199,100,50,True,2025-06-04 13:05:35,R_3mXm35HUz2cXwtV,,,,,40.7387,-111.8276,anonymous,EN,0,0,6.464,0,,Graduate student,,,,,,Neurobiology,Not familiar at all,21.442,21.442,22.299,1,Slightly interested,
2025-06-02 15:31:05,2025-06-02 15:31:27,IP Address,136.38.148.132,25,22,False,2025-06-09 15:31:31,R_3CI4ETVxMppMbkT,,,,,40.699,-111.841,anonymous,EN,7.8,7.8,8.532,1,,,,,,,,,,,,,,,
2025-06-02 15:36:01,2025-06-02 15:36:51,IP Address,146.75.236.0,50,50,False,2025-06-09 15:36:53,R_379eTVRPrSnJkSy,,,,,40.7126,-74.0066,anonymous,EN,0.93,13.919,14.967,6,,Graduate student,,,,,,"Neurobiology, interdepartmental graduate program in neuroscience",,,,,,,
2025-06-02 16:33:02,2025-06-02 16:33:22,IP Address,155.100.47.2,25,20,False,2025-06-09 16:33:24,R_3hHeT43jSBa3xhh,,,,,40.7143,-111.8894,anonymous,EN,0,0,17.401,0,,,,,,,,,,,,,,,
2025-06-02 19:59:39,2025-06-02 20:00:23,IP Address,136.60.153.208,50,43,False,2025-06-09 20:00:24,R_5I4dF4vblYaPLXI,,,,,40.6236,-111.9679,anonymous,EN,0,0,6.495,0,,Graduate student,,,,,,Neurobiology,,,,,,,
2025-06-02 17:22:50,2025-06-03 09:23:25,IP Address,155.98.164.39,25,57635,False,2025-06-10 09:23:34,R_75hZTHowGpN9Ds5,,,,,40.7387,-111.8276,anonymous,EN,0,0,6.371,0,,,,,,,,,,,,,,,
2025-06-04 12:27:25,2025-06-05 21:01:12,IP Address,98.50.113.216,50,117226,False,2025-06-12 21:01:16,R_5E04YO6xtEEg8zU,,,,,40.7611,-111.9003,anonymous,EN,0,0,12.188,0,,Graduate student,,,,,,Pathology,,,,,,,
2025-06-17 08:21:59,2025-06-17 08:22:59,IP Address,155.101.197.57,100,59,True,2025-06-17 08:22:59,R_3xY7cnG5stTiyOu,,,,,40.7037,-111.8094,anonymous,EN,0,0,7,0,,Graduate student,,,,,,Biochemistry,Moderately familiar,28.187,28.187,31.746,1,Not interested at all,
